Lastname,Firstname,Position,Salary
Espinoza,Berk,Mechanic,99840
Lucas,Paula,Cook,75325
Sexton,Ryder,Captain,55596
Gillespie,Inez,Captain,54381
Daniels,Cedric,Cook,52504
Rojas,Harriet,Mechanic,95512
Strickland,Tana,Mechanic,77398
Rivers,Igor,Doctor,83736
Bentley,Jasper,Mechanic,32119
Britt,Conan,Mechanic,89175
Coleman,Sylvia,Doctor,97545
Williams,Emma,Captain,96157
Barlow,Bevis,Captain,88083
Cherry,Wanda,Mechanic,77220
Vance,Justin,Doctor,31645
Boone,Erich,Engineer,56006
Mercer,Marny,Engineer,93155
Howard,Leilani,Captain,52333
Pennington,Yoshio,Engineer,46488
Kim,Lacy,Captain,92684
Dejesus,Melvin,,54050
Bolton,Lucy,Mechanic,57304
Hernandez,Moana,Captain,73408
Joyner,Hannah,Captain,89876
Bond,Caryn,Captain,31362
Hardin,Janna,Engineer,64870
Munoz,Breanna,Doctor,60277
Ellison,Colorado,Mechanic,88481
Gallagher,Ashely,Mechanic,65110
Goodman,Justine,Captain,59440
Jennings,Caryn,Engineer,30103
Dawson,Timon,Captain,50488
Barron,Lane,Engineer,98515
Simon,Zane,Engineer,65525
Duke,Howard,Captain,40147
Goodman,Leandra,Cook,81059
Mcgee,Myles,Cook,69849
Barber,Connor,Mechanic,43849
Dillon,Richard,Engineer,72247
Hines,Rylee,Captain,56314
Mayer,Leilani,,67201
Adkins,Amela,Cook,82570
Steele,Nevada,Mechanic,71481
Osborn,Zephr,Doctor,98395
Compton,Cassandra,Cook,51048
Cruz,Kibo,,85254
Noble,Thomas,Engineer,45475
England,Lydia,Mechanic,95850
Shaffer,Cain,,91457
James,Gillian,Engineer,98215
Nieves,Galena,Engineer,93654
Moses,Dennis,,93162
Valentine,Colton,,37017
Oneill,Callie,Engineer,30297
Santiago,Laura,Cook,34304
Moon,Petra,Captain,77099
Kerr,Sawyer,Captain,88497
Cooley,Byron,,47824
Neal,Quin,Captain,81424
Logan,Caryn,Mechanic,83659
Garner,Angelica,,96875
Lowe,Lane,Cook,90299
Oliver,Malik,Cook,62211
Guerrero,Shannon,,47879
Walters,Madaline,Engineer,30646
Madden,Mara,Cook,67955
Baxter,Zachery,Doctor,90503
Golden,Charles,,89587
Rodgers,Celeste,Cook,77573
English,Tashya,Captain,37572
Blanchard,Steven,Mechanic,32540
Campos,Raja,Doctor,84432
Russo,Portia,Cook,63840
Lott,Lunea,,57967
Jenkins,Zeph,Doctor,42511
Mckinney,Noel,Captain,99395
Waters,Mallory,,68135
Adkins,Mikayla,Captain,82461
Wood,Sophia,,83178
Adkins,Carter,Doctor,73778
Elliott,Kiara,Mechanic,48652
Moon,Sonya,Mechanic,71466
Kramer,Hedley,,67847
Bennett,Nadine,Mechanic,72386
Leonard,Sade,,35410
Peters,Amela,Mechanic,41930
Carter,Rigel,Captain,50065
Buck,Fulton,Mechanic,55695
Aguirre,Aladdin,Mechanic,45951
Chase,Ruth,Cook,58411
Harding,Jacqueline,Mechanic,99386
Colon,Rana,Cook,42808
David,Prescott,Engineer,54275
Marshall,Adrienne,,54260
Houston,Flavia,Doctor,78249
Kaufman,Savannah,Engineer,94947
Mosley,Coby,Captain,34644
Calderon,Hilel,Captain,47815
Donaldson,Nola,Engineer,43050
Alvarado,Fay,Doctor,91440
